Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
County,Solano County,2008,Annual,211200,196600,14600,6.9,N,Final
County,Solano County,2009,Annual,215600,192200,23400,10.8,N,Final
County,Solano County,2019,Annual,208100,200100,8000,3.8,N,Final
County,Solano County,2020,Annual,202800,183600,19200,9.5,N,Final
County,Sonoma County,2009,Annual,257700,232400,25300,9.8,N,Final
County,Sonoma County,2008,Annual,259800,244700,15000,5.8,N,Final
County,Sonoma County,2007,Annual,257700,246600,11100,4.3,N,Final
County,Sonoma County,2006,Annual,254400,244200,10200,4,N,Final
County,Sonoma County,2018,Annual,260600,253300,7300,2.8,N,Final
County,Sonoma County,2017,Annual,259900,251100,8800,3.4,N,Final
County,Sonoma County,2016,Annual,259200,248900,10300,4,N,Final
County,Sonoma County,2015,Annual,257700,246000,11600,4.5,N,Final
County,Sonoma County,2014,Annual,255600,241000,14500,5.7,N,Final
County,Sonoma County,2013,Annual,249000,231100,17900,7.2,N,Final
County,Sonoma County,2012,Annual,245700,223600,22100,9,N,Final
County,Sonoma County,2011,Annual,245600,220100,25500,10.4,N,Final
County,Sonoma County,2010,Annual,244600,217500,27100,11.1,N,Final
County,Sonoma County,2005,Annual,253500,242300,11200,4.4,N,Final
County,Sonoma County,2004,Annual,253900,241300,12600,5,N,Final
County,Sonoma County,2003,Annual,252900,239000,13900,5.5,N,Final
County,Sonoma County,2002,Annual,256600,243500,13100,5.1,N,Final
County,Sonoma County,2001,Annual,257200,247700,9500,3.7,N,Final
County,Sonoma County,2000,Annual,253100,244700,8400,3.3,N,Final
County,Sonoma County,1999,Annual,249400,242600,6800,2.7,N,Final
County,Sonoma County,1998,Annual,245800,237600,8200,3.3,N,Final
County,Sonoma County,1997,Annual,237800,228600,9100,3.8,N,Final
County,Sonoma County,1996,Annual,228500,218100,10400,4.5,N,Final
County,Sonoma County,1995,Annual,223700,211400,12300,5.5,N,Final
County,Sonoma County,1994,Annual,223900,210600,13300,5.9,N,Final
County,Sonoma County,1993,Annual,220100,205500,14600,6.6,N,Final
County,Sonoma County,1992,Annual,217100,201700,15400,7.1,N,Final
County,Sonoma County,1991,Annual,212300,200400,11900,5.6,N,Final
County,Sonoma County,1990,Annual,206200,198300,8000,3.9,N,Final
County,Sonoma County,2020,Annual,245100,225800,19300,7.9,N,Final
County,Sonoma County,2019,Annual,257100,250000,7100,2.7,N,Final
County,Stanislaus County,1990,Annual,180300,159000,21300,11.8,N,Final
County,Stanislaus County,1991,Annual,183900,156500,27400,14.9,N,Final
County,Stanislaus County,1992,Annual,191800,160100,31800,16.6,N,Final
County,Stanislaus County,1993,Annual,194200,161400,32800,16.9,N,Final
County,Stanislaus County,1994,Annual,193600,162600,31000,16,N,Final
County,Stanislaus County,1995,Annual,192300,162700,29600,15.4,N,Final
County,Stanislaus County,1996,Annual,194300,166200,28200,14.5,N,Final
County,Stanislaus County,1997,Annual,197900,171600,26300,13.3,N,Final
County,Stanislaus County,1998,Annual,201600,176900,24700,12.3,N,Final
County,Stanislaus County,1999,Annual,202500,180900,21600,10.7,N,Final
County,Stanislaus County,2000,Annual,207600,191600,16000,7.7,N,Final
County,Stanislaus County,2001,Annual,213800,195800,18000,8.4,N,Final
County,Stanislaus County,2002,Annual,219100,197800,21400,9.7,N,Final
County,Stanislaus County,2003,Annual,221800,199800,22100,10,N,Final
County,Stanislaus County,2004,Annual,223600,203000,20600,9.2,N,Final
County,Stanislaus County,2005,Annual,226700,207600,19000,8.4,N,Final
County,Stanislaus County,2010,Annual,243800,201700,42200,17.3,N,Final
County,Stanislaus County,2011,Annual,242200,201600,40600,16.8,N,Final
County,Stanislaus County,2012,Annual,241700,205100,36500,15.1,N,Final
County,Stanislaus County,2013,Annual,240300,208800,31500,13.1,N,Final
County,Stanislaus County,2014,Annual,240200,213100,27100,11.3,N,Final
County,Stanislaus County,2015,Annual,241000,218000,23000,9.5,N,Final
County,Stanislaus County,2016,Annual,242700,221800,21000,8.6,N,Final
County,Stanislaus County,2017,Annual,242100,223900,18200,7.5,N,Final
County,Stanislaus County,2018,Annual,243100,227300,15800,6.5,N,Final
County,Stanislaus County,2006,Annual,224600,206800,17900,7.9,N,Final
County,Stanislaus County,2007,Annual,227100,207600,19500,8.6,N,Final
County,Stanislaus County,2008,Annual,231800,206100,25800,11.1,N,Final
County,Stanislaus County,2009,Annual,236200,198100,38100,16.1,N,Final
County,Stanislaus County,2019,Annual,242500,227500,14900,6.2,N,Final
County,Stanislaus County,2020,Annual,240600,214900,25800,10.7,N,Final
County,Sutter County,2009,Annual,42200,35000,7200,17.1,N,Final
County,Sutter County,2008,Annual,41100,36000,5100,12.4,N,Final
County,Sutter County,2007,Annual,41000,37100,3900,9.6,N,Final
County,Sutter County,2006,Annual,40400,36800,3600,8.9,N,Final
County,Sutter County,2018,Annual,44800,41400,3400,7.7,N,Final
County,Sutter County,2017,Annual,45000,41100,3900,8.8,N,Final
County,Sutter County,2016,Annual,45000,40600,4400,9.7,N,Final
County,Sutter County,2015,Annual,44700,39900,4800,10.8,N,Final
County,Sutter County,2014,Annual,44200,38600,5700,12.8,N,Final
County,Sutter County,2013,Annual,44700,38100,6600,14.8,N,Final
County,Sutter County,2012,Annual,45500,37700,7800,17.1,N,Final
County,Sutter County,2011,Annual,45900,37400,8500,18.5,N,Final
County,Sutter County,2010,Annual,46100,37400,8700,18.8,N,Final
County,Sutter County,2005,Annual,40000,36200,3900,9.6,N,Final
County,Sutter County,2004,Annual,40000,35800,4200,10.6,N,Final
County,Sutter County,2003,Annual,39400,35000,4500,11.3,N,Final
County,Sutter County,2002,Annual,39100,34700,4300,11.1,N,Final
County,Sutter County,2001,Annual,38400,34600,3800,9.8,N,Final
County,Sutter County,2000,Annual,37800,34300,3500,9.3,N,Final
County,Sutter County,1999,Annual,35700,31000,4700,13.1,N,Final
County,Sutter County,1998,Annual,35400,29900,5500,15.6,N,Final
County,Sutter County,1997,Annual,35300,29900,5400,15.2,N,Final
County,Sutter County,1996,Annual,34200,28700,5500,16.2,N,Final
County,Sutter County,1995,Annual,34300,28400,5900,17.1,N,Final
County,Sutter County,1994,Annual,34100,28300,5700,16.8,N,Final
County,Sutter County,1993,Annual,34700,28200,6500,18.8,N,Final
County,Sutter County,1992,Annual,34100,27400,6700,19.7,N,Final
County,Sutter County,1991,Annual,34600,28700,5900,17.1,N,Final
County,Sutter County,1990,Annual,33100,28500,4700,14.1,N,Final
County,Sutter County,2020,Annual,45500,40500,5000,11,N,Final
County,Sutter County,2019,Annual,45500,42100,3400,7.5,N,Final
County,Tehama County,1990,Annual,19920,17930,1990,10,N,Final
County,Tehama County,1991,Annual,21240,18770,2470,11.6,N,Final
County,Tehama County,1992,Annual,23020,20050,2970,12.9,N,Final
County,Tehama County,1993,Annual,23310,20230,3080,13.2,N,Final
County,Tehama County,1994,Annual,23900,21180,2730,11.4,N,Final
County,Tehama County,1995,Annual,23070,20480,2600,11.3,N,Final
County,Tehama County,1996,Annual,22830,20360,2470,10.8,N,Final
County,Tehama County,1997,Annual,24010,21780,2220,9.3,N,Final
County,Tehama County,1998,Annual,23970,21880,2090,8.7,N,Final
County,Tehama County,1999,Annual,24210,22560,1650,6.8,N,Final
County,Tehama County,2000,Annual,23590,22070,1520,6.4,N,Final
County,Tehama County,2001,Annual,24510,22900,1610,6.6,N,Final
County,Tehama County,2002,Annual,25490,23640,1850,7.3,N,Final
County,Tehama County,2003,Annual,25620,23630,1990,7.8,N,Final
County,Tehama County,2004,Annual,25280,23410,1870,7.4,N,Final
County,Tehama County,2005,Annual,25200,23480,1730,6.8,N,Final
County,Tehama County,2010,Annual,25760,21700,4060,15.8,N,Final
County,Tehama County,2011,Annual,25550,21660,3890,15.2,N,Final
County,Tehama County,2012,Annual,25210,21690,3520,14,N,Final
County,Tehama County,2013,Annual,25010,22070,2940,11.8,N,Final
County,Tehama County,2014,Annual,25040,22600,2440,9.7,N,Final
County,Tehama County,2015,Annual,25020,23030,1990,8,N,Final
County,Tehama County,2016,Annual,25070,23280,1790,7.1,N,Final
County,Tehama County,2017,Annual,25530,23890,1640,6.4,N,Final
County,Tehama County,2018,Annual,25490,24020,1470,5.8,N,Final
County,Tehama County,2006,Annual,25090,23470,1620,6.5,N,Final
County,Tehama County,2007,Annual,24890,23110,1780,7.2,N,Final
County,Tehama County,2008,Annual,25170,22840,2330,9.2,N,Final
County,Tehama County,2009,Annual,25510,21880,3620,14.2,N,Final
County,Tehama County,2019,Annual,25550,24090,1460,5.7,N,Final
County,Tehama County,2020,Annual,25580,23320,2260,8.8,N,Final
County,Trinity County,2009,Annual,5020,4150,880,17.4,N,Final
County,Trinity County,2008,Annual,4850,4230,620,12.8,N,Final
County,Trinity County,2007,Annual,5030,4510,520,10.3,N,Final
County,Trinity County,2006,Annual,5070,4570,500,9.9,N,Final
County,Trinity County,2018,Annual,4680,4410,270,5.8,N,Final
County,Trinity County,2017,Annual,4810,4510,300,6.2,N,Final
County,Trinity County,2016,Annual,4990,4640,350,7.1,N,Final
County,Trinity County,2015,Annual,5140,4740,400,7.8,N,Final
County,Trinity County,2014,Annual,5160,4670,490,9.6,N,Final
County,Trinity County,2013,Annual,5180,4550,630,12.1,N,Final
County,Trinity County,2012,Annual,5320,4530,790,14.9,N,Final
County,Trinity County,2011,Annual,5380,4470,910,17,N,Final
County,Trinity County,2010,Annual,5440,4490,950,17.4,N,Final
County,Trinity County,2005,Annual,5170,4640,530,10.2,N,Final
County,Trinity County,2004,Annual,5240,4660,580,11,N,Final
County,Trinity County,2003,Annual,5380,4810,570,10.6,N,Final
County,Trinity County,2002,Annual,5390,4840,550,10.2,N,Final
County,Trinity County,2001,Annual,5380,4880,500,9.3,N,Final
County,Trinity County,2000,Annual,5100,4610,490,9.7,N,Final
County,Trinity County,1999,Annual,4860,4300,570,11.6,N,Final
County,Trinity County,1998,Annual,5000,4330,670,13.4,N,Final
County,Trinity County,1997,Annual,5150,4450,710,13.7,N,Final
County,Trinity County,1996,Annual,5150,4380,760,14.8,N,Final
County,Trinity County,1995,Annual,5280,4510,770,14.6,N,Final
County,Trinity County,1994,Annual,5280,4480,790,15,N,Final
County,Trinity County,1993,Annual,5180,4320,870,16.8,N,Final
County,Trinity County,1992,Annual,5270,4380,890,16.9,N,Final
County,Trinity County,1991,Annual,5140,4390,750,14.6,N,Final
County,Trinity County,1990,Annual,5340,4680,660,12.4,N,Final
County,Trinity County,2020,Annual,4520,4150,360,8,N,Final
County,Trinity County,2019,Annual,4640,4380,260,5.6,N,Final
County,Tulare County,1990,Annual,145700,127800,17900,12.3,N,Final
County,Tulare County,1991,Annual,153400,125300,28100,18.3,N,Final
County,Tulare County,1992,Annual,154200,127100,27100,17.6,N,Final
County,Tulare County,1993,Annual,157700,129000,28700,18.2,N,Final
County,Tulare County,1994,Annual,161600,134900,26700,16.5,N,Final
County,Tulare County,1995,Annual,159800,133200,26600,16.7,N,Final
County,Tulare County,1996,Annual,159100,133100,26000,16.4,N,Final
County,Tulare County,1997,Annual,160100,135400,24700,15.4,N,Final
County,Tulare County,1998,Annual,162800,137300,25600,15.7,N,Final
County,Tulare County,1999,Annual,165200,137600,27500,16.7,N,Final
County,Tulare County,2000,Annual,171600,154000,17600,10.3,N,Final
County,Tulare County,2001,Annual,175000,154900,20100,11.5,N,Final
County,Tulare County,2002,Annual,180600,158800,21800,12,N,Final
County,Tulare County,2003,Annual,181300,158900,22400,12.4,N,Final
County,Tulare County,2004,Annual,179800,158900,20800,11.6,N,Final
County,Tulare County,2005,Annual,183300,166100,17300,9.4,N,Final
County,Tulare County,2010,Annual,203500,167700,35800,17.6,N,Final
County,Tulare County,2011,Annual,203400,168000,35400,17.4,N,Final
County,Tulare County,2012,Annual,201100,168100,33000,16.4,N,Final
County,Tulare County,2013,Annual,200500,171300,29100,14.5,N,Final
County,Tulare County,2014,Annual,197900,171600,26300,13.3,N,Final
County,Tulare County,2015,Annual,202100,178500,23600,11.7,N,Final
County,Tulare County,2016,Annual,203300,180500,22800,11.2,N,Final
County,Tulare County,2017,Annual,204600,183100,21500,10.5,N,Final
County,Tulare County,2018,Annual,203100,183100,20000,9.8,N,Final
County,Tulare County,2006,Annual,187700,171700,15900,8.5,N,Final
County,Tulare County,2007,Annual,191700,174200,17500,9.1,N,Final
County,Tulare County,2008,Annual,199000,177400,21600,10.9,N,Final
County,Tulare County,2009,Annual,204600,173000,31600,15.4,N,Final
County,Tulare County,2019,Annual,202200,182200,19900,9.9,N,Final
County,Tulare County,2020,Annual,199200,172900,26300,13.2,N,Final
County,Tuolumne County,2009,Annual,25870,22590,3280,12.7,N,Final
County,Tuolumne County,2008,Annual,25780,23710,2070,8,N,Final
County,Tuolumne County,2007,Annual,25810,24220,1580,6.1,N,Final
County,Tuolumne County,2006,Annual,25850,24360,1490,5.8,N,Final
County,Tuolumne County,2018,Annual,21190,20190,990,4.7,N,Final
County,Tuolumne County,2017,Annual,21380,20220,1160,5.4,N,Final
County,Tuolumne County,2016,Annual,21570,20220,1350,6.2,N,Final
County,Tuolumne County,2015,Annual,21530,20000,1530,7.1,N,Final
County,Tuolumne County,2014,Annual,21540,19650,1890,8.8,N,Final
County,Tuolumne County,2013,Annual,21680,19310,2360,10.9,N,Final
County,Tuolumne County,2012,Annual,22280,19340,2940,13.2,N,Final
County,Tuolumne County,2011,Annual,22700,19360,3340,14.7,N,Final
County,Tuolumne County,2010,Annual,22660,19120,3530,15.6,N,Final
County,Tuolumne County,2005,Annual,25990,24320,1670,6.4,N,Final
County,Tuolumne County,2004,Annual,25550,23780,1770,6.9,N,Final
County,Tuolumne County,2003,Annual,25300,23500,1800,7.1,N,Final
County,Tuolumne County,2002,Annual,24750,23090,1660,6.7,N,Final
County,Tuolumne County,2001,Annual,23900,22490,1410,5.9,N,Final
County,Tuolumne County,2000,Annual,22870,21540,1330,5.8,N,Final
County,Tuolumne County,1999,Annual,19860,18550,1310,6.6,N,Final
County,Tuolumne County,1998,Annual,19560,18000,1560,8,N,Final
County,Tuolumne County,1997,Annual,19710,17970,1740,8.8,N,Final
County,Tuolumne County,1996,Annual,19500,17480,2020,10.4,N,Final
County,Tuolumne County,1995,Annual,20140,17960,2180,10.8,N,Final
County,Tuolumne County,1994,Annual,21000,18650,2350,11.2,N,Final
County,Tuolumne County,1993,Annual,20620,18150,2460,11.9,N,Final
County,Tuolumne County,1992,Annual,20750,18400,2350,11.3,N,Final
County,Tuolumne County,1991,Annual,20060,18300,1760,8.8,N,Final
County,Tuolumne County,1990,Annual,19860,18530,1330,6.7,N,Final
County,Tuolumne County,2020,Annual,20040,17950,2080,10.4,N,Final
County,Tuolumne County,2019,Annual,20930,19970,960,4.6,N,Final
County,Ventura County,1990,Annual,366500,345400,21100,5.7,N,Final
County,Ventura County,1991,Annual,367400,339300,28100,7.6,N,Final
County,Ventura County,1992,Annual,372900,339300,33600,9,N,Final
County,Ventura County,1993,Annual,375300,341300,34000,9.1,N,Final
County,Ventura County,1994,Annual,380300,350000,30400,8,N,Final
County,Ventura County,1995,Annual,379500,351300,28200,7.4,N,Final
County,Ventura County,1996,Annual,375600,348200,27500,7.3,N,Final
County,Ventura County,1997,Annual,378700,353500,25200,6.7,N,Final
County,Ventura County,1998,Annual,386300,364800,21600,5.6,N,Final
County,Ventura County,1999,Annual,395200,376100,19200,4.8,N,Final
County,Ventura County,2000,Annual,392400,374900,17500,4.5,N,Final
County,Ventura County,2001,Annual,398300,378800,19400,4.9,N,Final
County,Ventura County,2002,Annual,406000,382300,23600,5.8,N,Final
County,Ventura County,2003,Annual,409600,385700,23900,5.8,N,Final
County,Ventura County,2004,Annual,412200,390100,22100,5.4,N,Final
County,Ventura County,2005,Annual,416000,396300,19700,4.7,N,Final
County,Ventura County,2010,Annual,430200,382400,47800,11.1,N,Final
County,Ventura County,2011,Annual,430900,386000,44900,10.4,N,Final
County,Ventura County,2012,Annual,433700,393600,40100,9.2,N,Final
County,Ventura County,2013,Annual,432300,397900,34500,8,N,Final
County,Ventura County,2014,Annual,429200,400300,28900,6.7,N,Final
County,Ventura County,2015,Annual,427200,403000,24300,5.7,N,Final
County,Ventura County,2016,Annual,425300,403100,22300,5.2,N,Final
County,Ventura County,2017,Annual,423900,404700,19200,4.5,N,Final
County,Ventura County,2018,Annual,423100,406800,16300,3.8,N,Final
County,Ventura County,2006,Annual,420200,402200,18100,4.3,N,Final
County,Ventura County,2007,Annual,423600,403200,20500,4.8,N,Final
County,Ventura County,2008,Annual,429000,401900,27100,6.3,N,Final
County,Ventura County,2009,Annual,432200,388800,43500,10.1,N,Final
County,Ventura County,2019,Annual,421400,405900,15500,3.7,N,Final
County,Ventura County,2020,Annual,408900,373900,35000,8.6,N,Final
County,Yolo County,2009,Annual,99200,87900,11400,11.5,N,Final
County,Yolo County,2008,Annual,98300,91000,7300,7.4,N,Final
County,Yolo County,2007,Annual,97600,92100,5500,5.7,N,Final
County,Yolo County,2006,Annual,93800,88900,4800,5.2,N,Final
County,Yolo County,2018,Annual,107500,102900,4600,4.3,N,Final
County,Yolo County,2017,Annual,106600,101200,5500,5.1,N,Final
County,Yolo County,2016,Annual,106100,99800,6300,5.9,N,Final
County,Yolo County,2015,Annual,104200,97400,6800,6.5,N,Final
County,Yolo County,2014,Annual,102000,94300,7800,7.6,N,Final
County,Yolo County,2013,Annual,101500,92200,9300,9.1,N,Final
County,Yolo County,2012,Annual,102400,91300,11100,10.8,N,Final
County,Yolo County,2011,Annual,101600,89500,12200,12,N,Final
County,Yolo County,2010,Annual,102300,89600,12600,12.4,N,Final
County,Yolo County,2005,Annual,92400,87300,5100,5.5,N,Final
County,Yolo County,2004,Annual,91900,86300,5600,6.1,N,Final
County,Yolo County,2003,Annual,91300,85400,5900,6.4,N,Final
County,Yolo County,2002,Annual,90400,85000,5500,6.1,N,Final
County,Yolo County,2001,Annual,88100,83600,4500,5.1,N,Final
County,Yolo County,2000,Annual,86100,81800,4300,5,N,Final
County,Yolo County,1999,Annual,90900,86900,4000,4.4,N,Final
County,Yolo County,1998,Annual,86900,82100,4700,5.4,N,Final
County,Yolo County,1997,Annual,85700,80600,5100,6,N,Final
County,Yolo County,1996,Annual,86000,80400,5600,6.5,N,Final
County,Yolo County,1995,Annual,86700,80700,5900,6.9,N,Final
County,Yolo County,1994,Annual,86600,80600,6000,6.9,N,Final
County,Yolo County,1993,Annual,82700,76000,6700,8.1,N,Final
County,Yolo County,1992,Annual,81800,75000,6800,8.3,N,Final
County,Yolo County,1991,Annual,77200,71100,6100,7.9,N,Final
County,Yolo County,1990,Annual,74000,68900,5100,6.8,N,Final
County,Yolo County,2020,Annual,105000,97100,7900,7.5,N,Final
County,Yolo County,2019,Annual,107900,103400,4500,4.2,N,Final
County,Yuba County,1990,Annual,22100,19800,2400,10.6,N,Final
County,Yuba County,1991,Annual,22700,19500,3200,14,N,Final
County,Yuba County,1992,Annual,22400,18500,3900,17.4,N,Final
County,Yuba County,1993,Annual,23000,19000,4000,17.5,N,Final
County,Yuba County,1994,Annual,22000,18500,3500,16,N,Final
County,Yuba County,1995,Annual,21000,17800,3100,14.9,N,Final
County,Yuba County,1996,Annual,20900,17900,3000,14.3,N,Final
County,Yuba County,1997,Annual,20900,18100,2800,13.3,N,Final
County,Yuba County,1998,Annual,20700,17900,2800,13.6,N,Final
County,Yuba County,1999,Annual,20500,18100,2400,11.8,N,Final
County,Yuba County,2000,Annual,24300,22400,1900,7.9,N,Final
County,Yuba County,2001,Annual,24800,22700,2100,8.6,N,Final
County,Yuba County,2002,Annual,25000,22500,2500,9.9,N,Final
County,Yuba County,2003,Annual,25200,22500,2700,10.8,N,Final
County,Yuba County,2004,Annual,25200,22800,2400,9.7,N,Final
County,Yuba County,2005,Annual,25700,23400,2300,9,N,Final
County,Yuba County,2010,Annual,29100,23800,5300,18.2,N,Final
County,Yuba County,2011,Annual,28900,23900,5000,17.3,N,Final
County,Yuba County,2012,Annual,28800,24300,4500,15.6,N,Final
County,Yuba County,2013,Annual,28200,24400,3800,13.3,N,Final
County,Yuba County,2014,Annual,27900,24700,3200,11.3,N,Final
County,Yuba County,2015,Annual,27700,25100,2600,9.3,N,Final
County,Yuba County,2016,Annual,28200,25700,2400,8.6,N,Final
County,Yuba County,2017,Annual,28700,26600,2100,7.5,N,Final
County,Yuba County,2018,Annual,29200,27400,1900,6.5,N,Final
County,Yuba County,2006,Annual,26600,24300,2300,8.8,N,Final
County,Yuba County,2007,Annual,27400,24900,2500,9.2,N,Final
County,Yuba County,2008,Annual,27700,24400,3300,12,N,Final
County,Yuba County,2009,Annual,28600,23600,5000,17.5,N,Final
County,Yuba County,2019,Annual,29700,27900,1800,6.2,N,Final
County,Yuba County,2020,Annual,30000,26900,3200,10.5,N,Final
